datum,rain
2010-05-01,0.7272251308900524
2010-05-02,2.0523560209424083
2010-05-03,11.987434554973822
2010-05-04,1.0979057591623036
2010-05-05,0.4261780104712042
2010-05-06,2.2198952879581153
2010-05-07,9.92303664921466
2010-05-08,0.568586387434555
2010-05-09,0.7712041884816754
2010-05-10,2.018848167539267
2010-05-11,0.9219895287958115
2010-05-12,2.3020942408376963
2010-05-13,0.5664921465968586
2010-05-14,0.4361256544502618
2010-05-15,11.541361256544501
2010-05-16,0.6989528795811518
2010-05-17,0
2010-05-18,0.005759162303664921
2010-05-19,12.464397905759162
2010-05-20,0.0193717277486911
2010-05-21,5.235602094240838e-4
2010-05-22,0.031413612565445025
2010-05-23,0.18219895287958116
2010-05-24,0.6146596858638744
2010-05-25,3.9130890052356024
2010-05-26,0.0020942408376963353
2010-05-27,1.8340314136125655
2010-05-28,0.5282722513089005
2010-05-29,0.0581151832460733
2010-05-30,1.82565445026178
2010-05-31,1.6701570680628273
2010-06-01,5.440837696335079
2010-06-02,0.032460732984293195
2010-06-03,0.0020942408376963353
2010-06-04,0.06910994764397906
2010-06-05,0.06858638743455497
2010-06-06,0.008900523560209424
2010-06-07,1.1958115183246074
2010-06-08,0.017277486910994764
2010-06-09,0.015706806282722512
2010-06-10,0.016753926701570682
2010-06-11,0.05130890052356021
2010-06-12,0.04397905759162304
2010-06-13,0.042408376963350786
2010-06-14,0.004188481675392671
2010-06-15,0.012041884816753928
2010-06-16,0.060209424083769635
2010-06-17,0.012041884816753928
2010-06-18,0.005759162303664921
2010-06-19,0.025654450261780103
2010-06-20,0.05130890052356021
2010-06-21,0
2010-06-23,0.0015706806282722511
2010-06-24,0.01832460732984293
2010-06-25,0.0015706806282722511
2010-06-26,0
2010-06-27,0.002617801047120419
2010-06-28,0.026701570680628273
2010-06-29,0.008376963350785341
2010-06-30,0.003664921465968586
2010-07-01,0.0010471204188481676
2010-07-02,0.0010471204188481676
2010-07-03,0.008376963350785341
2010-07-04,0.002617801047120419
2010-07-05,2.384816753926702
2010-07-06,5.637696335078534
2010-07-07,0.018848167539267015
2010-07-08,0.006282722513089005
2010-07-09,0.014136125654450262
2010-07-10,0.0031413612565445023
2010-07-11,0.049214659685863874
2010-07-12,0.020942408376963352
2010-07-13,1.701047120418848
2010-07-14,0.002617801047120419
2010-07-15,0.01780104712041885
2010-07-16,0.006282722513089005
2010-07-17,6.75130890052356
2010-07-18,0.01832460732984293
2010-07-19,0.008900523560209424
2010-07-20,0.0450261780104712
2010-07-21,0.0193717277486911
2010-07-22,0.003664921465968586
2010-07-23,25.317277486910996
2010-07-24,3.3712041884816757
2010-07-25,0.042408376963350786
2010-07-26,0.05287958115183246
2010-07-27,0.0743455497382199
2010-07-28,0.04397905759162304
2010-07-29,0.04816753926701571
2010-07-30,0.030366492146596858
2010-07-31,5.235602094240838e-4
2010-08-01,0.33874345549738216
2010-08-02,0.3240837696335078
2010-08-03,6.538743455497382
2010-08-04,2.640837696335079
2010-08-05,0.0020942408376963353
2010-08-06,0.0015706806282722511
2010-08-07,7.127225130890052
2010-08-08,0.10890052356020943
2010-08-09,0.83717277486911
2010-08-10,0.17539267015706805
2010-08-11,0.05026178010471204
2010-08-12,0.03455497382198953
2010-08-13,13.952356020942409
2010-08-14,19.895287958115183
2010-08-15,0.5293193717277487
2010-08-16,7.521989528795811
2010-08-17,0.9753926701570681
2010-08-18,2.481151832460733
2010-08-19,1.774869109947644
2010-08-20,0.01361256544502618
2010-08-21,0
2010-08-22,0.08062827225130889
2010-08-23,2.055497382198953
2010-08-24,4.328272251308901
2010-08-25,0.07277486910994765
2010-08-26,0.8832460732984293
2010-08-27,8.793193717277486
2010-08-28,0.5261780104712042
2010-08-29,3.312565445026178
2010-08-30,8.847120418848167
2010-08-31,0.04607329842931937
2010-09-01,0.03507853403141361
2010-09-02,0.051832460732984295
2010-09-03,0.7460732984293194
2010-09-04,0.08743455497382199
2010-09-05,1.9361256544502616
2010-09-06,0.015706806282722512
2010-09-07,5.235602094240838e-4
2010-09-08,0.004188481675392671
2010-09-09,0.6350785340314136
2010-09-10,0.7293193717277486
2010-09-11,0.08062827225130889
2010-09-12,0
2010-09-13,2.6910994764397906
2010-09-14,8.006282722513088
2010-09-15,4.771204188481676
2010-09-16,3.1251308900523562
2010-09-17,0.2696335078534031
2010-09-18,0.02617801047120419
2010-09-19,0.23979057591623038
2010-09-20,0.03507853403141361
2010-09-21,0.07591623036649214
2010-09-22,0.04816753926701571
2010-09-23,0.08691099476439791
2010-09-24,0.028272251308900525
2010-09-25,0.009947643979057591
2010-09-26,13.951832460732984
2010-09-27,19.21570680628272
2010-09-28,0.5507853403141361
2010-09-29,0.016230366492146597
2010-09-30,0.01832460732984293
2011-05-01,0.03717277486910995
2011-05-02,2.342931937172775
2011-05-03,0.18481675392670155
2011-05-04,0.3162303664921466
2011-05-05,0.0905759162303665
2011-05-06,0.020418848167539267
2011-05-07,0.01361256544502618
2011-05-08,0.028272251308900525
2011-05-09,0.004712041884816754
2011-05-10,0.021465968586387434
2011-05-11,0.03193717277486911
2011-05-12,0.3769633507853403
2011-05-13,2.445549738219895
2011-05-14,0
2011-05-15,1.2418848167539267
2011-05-16,0.1486910994764398
2011-05-17,0.938219895287958
2011-05-18,0.23979057591623038
2011-05-19,0.003664921465968586
2011-05-20,0.930890052356021
2011-05-21,1.9366492146596859
2011-05-22,5.235602094240838e-4
2011-05-23,4.997382198952879
2011-05-24,0.0015706806282722511
2011-05-25,0.020942408376963352
2011-05-26,0.019895287958115182
