datum,r
2010-05-01,2.355263157894737
2010-05-02,1.0651315789473685
2010-05-03,12.313157894736843
2010-05-04,0.9875
2010-05-05,0.7914473684210527
2010-05-06,11.7
2010-05-07,1.3085526315789475
2010-05-08,1.580921052631579
2010-05-09,2.4407894736842106
2010-05-10,1.0447368421052632
2010-05-11,3.130263157894737
2010-05-12,0.9111842105263157
2010-05-13,1.3519736842105263
2010-05-14,0.65
2010-05-15,12.078947368421051
2010-05-16,0.002631578947368421
2010-05-17,0.04802631578947368
2010-05-18,3.1256578947368423
2010-05-19,10.410526315789474
2010-05-20,0.3092105263157895
2010-05-21,0.19210526315789472
2010-05-22,0.049342105263157895
2010-05-23,0.1394736842105263
2010-05-24,4.757894736842106
2010-05-25,0.2210526315789474
2010-05-26,0.6427631578947368
2010-05-27,1.656578947368421
2010-05-28,0.6335526315789474
2010-05-29,0.14407894736842106
2010-05-30,3.4842105263157896
2010-05-31,3.951973684210526
2010-06-01,1.8789473684210527
2010-06-02,0.07236842105263158
2010-06-03,0.14013157894736844
2010-06-04,0.21973684210526315
2010-06-05,0.33223684210526316
2010-06-06,0.034868421052631576
2010-06-07,1.5046052631578948
2010-06-08,0.2763157894736842
2010-06-09,0.16710526315789473
2010-06-10,0.4842105263157895
2010-06-11,0.10328947368421053
2010-06-12,0.15
2010-06-13,0.17039473684210527
2010-06-14,0.25065789473684214
2010-06-15,0.24868421052631579
2010-06-16,0.15460526315789475
2010-06-17,0.046052631578947366
2010-06-18,0
2010-06-19,0.21710526315789475
2010-06-20,0.0868421052631579
2010-06-21,0.34407894736842104
2010-06-22,0.05460526315789473
2010-06-23,0.05526315789473685
2010-06-24,0.002631578947368421
2010-06-25,0.015131578947368421
2010-06-26,0.14671052631578946
2010-06-27,0.04868421052631579
2010-06-28,0.038157894736842106
2010-06-29,0.05197368421052632
2010-06-30,0.19736842105263158
2010-07-01,0.3447368421052631
2010-07-02,0.15328947368421053
2010-07-03,0.05131578947368422
2010-07-04,0.061184210526315785
2010-07-05,6.050657894736842
2010-07-06,0.8322368421052632
2010-07-07,0.21776315789473685
2010-07-08,0.049342105263157895
2010-07-09,0.023026315789473683
2010-07-10,0.02236842105263158
2010-07-11,0.11710526315789474
2010-07-12,2.1605263157894736
2010-07-13,0.44342105263157894
2010-07-14,0.09539473684210527
2010-07-15,0.45394736842105265
2010-07-16,0.1486842105263158
2010-07-17,5.970394736842105
2010-07-18,0.0881578947368421
2010-07-19,0.1013157894736842
2010-07-20,0.07960526315789473
2010-07-21,0.008552631578947369
2010-07-22,5.375
2010-07-23,21.507236842105264
2010-07-24,1.2546052631578948
2010-07-25,0.2223684210526316
2010-07-26,0.25
2010-07-27,0.18223684210526317
2010-07-28,0.14078947368421052
2010-07-29,0.2118421052631579
2010-07-30,0.17171052631578948
2010-07-31,0.18092105263157893
2010-08-01,0.4789473684210527
2010-08-02,2.9914473684210527
2010-08-03,4.7125
2010-08-04,0.25921052631578945
2010-08-05,0.08552631578947369
2010-08-06,7.044078947368421
2010-08-07,0.15657894736842107
2010-08-08,1.0592105263157896
2010-08-09,0.16052631578947368
2010-08-10,0.1638157894736842
2010-08-11,0.1388157894736842
2010-08-12,13.148684210526316
2010-08-13,2.7736842105263158
2010-08-14,17.488815789473684
2010-08-15,1.1697368421052632
2010-08-16,7.6763157894736835
2010-08-17,0.5039473684210527
2010-08-18,4.380921052631579
2010-08-19,0.4302631578947368
2010-08-20,0.15460526315789475
2010-08-21,0.04013157894736842
2010-08-22,1.5717105263157896
2010-08-23,3.961842105263158
2010-08-24,0.1868421052631579
2010-08-25,0.07368421052631578
2010-08-26,2.195394736842105
2010-08-27,8.426315789473684
2010-08-28,2.421710526315789
2010-08-29,3.505263157894737
2010-08-30,5.943421052631579
2010-08-31,0.06907894736842105
2010-09-01,0.17763157894736842
2010-09-02,1.081578947368421
2010-09-03,0.03618421052631579
2010-09-04,1.8526315789473684
2010-09-05,0.14144736842105263
2010-09-06,0.05131578947368422
2010-09-07,0.028289473684210524
2010-09-08,0.06907894736842105
2010-09-09,0.8256578947368421
2010-09-10,0.8578947368421053
2010-09-11,0.1131578947368421
2010-09-12,0.26973684210526316
2010-09-13,5.058552631578947
2010-09-14,8.528947368421052
2010-09-15,1.194078947368421
2010-09-16,3.225
2010-09-17,0.31842105263157894
2010-09-18,0.42434210526315785
2010-09-19,0.32171052631578945
2010-09-20,0.26052631578947366
2010-09-21,0.3078947368421053
2010-09-22,0.08289473684210527
2010-09-23,0.1006578947368421
2010-09-24,0.07368421052631578
2010-09-25,7.096052631578948
2010-09-26,16.23092105263158
2010-09-27,7.601973684210526
2010-09-28,0.19539473684210526
2010-09-29,0.04078947368421053
2010-09-30,0.06644736842105263
2011-05-01,0.1480263157894737
2011-05-02,1.5947368421052632
2011-05-03,0.05
2011-05-04,0.4440789473684211
2011-05-05,0.1480263157894737
2011-05-06,0.028289473684210524
2011-05-07,0.057236842105263155
2011-05-08,0.007894736842105263
2011-05-09,0.023026315789473683
2011-05-10,0.15526315789473683
2011-05-11,0.4493421052631579
2011-05-12,2.405263157894737
2011-05-13,0.4217105263157895
2011-05-14,1.3710526315789475
2011-05-15,0.36447368421052634
2011-05-16,1.2585526315789475
2011-05-17,0.5973684210526315
2011-05-18,0.34671052631578947
2011-05-19,1.019078947368421
2011-05-20,1.720394736842105
2011-05-21,0.027631578947368424
2011-05-22,4.594736842105263
2011-05-23,0.1105263157894737
2011-05-24,0.0868421052631579
2011-05-25,0.19671052631578947
2011-05-26,0.475
2011-05-27,0.5243421052631578
